;;;quick;;;;;select;;;;;insert;;;;;heap;;;;;mquick
n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n
9100;140251;153272;0.011052;15.412198;16.843077;41400450;18198;0.110642;4549.500000;1.999780;19902564;19902564;0.066848;2187.094971;2187.094971;242322;224122;0.002758;26.628792;24.628792;134224;135792;0.003385;14.749890;14.922197
9200;142314;149512;0.010715;15.468913;16.251305;42315400;18398;0.108592;4599.500000;1.999783;20416310;20416310;0.063137;2219.164062;2219.164062;245202;226802;0.002691;26.652391;24.652391;136477;138406;0.003269;14.834456;15.044130
9300;146747;156005;0.011120;15.779247;16.774731;43240350;18598;0.114550;4649.500000;1.999785;20819625;20819625;0.069059;2238.669189;2238.669189;248317;229717;0.002721;26.700752;24.700752;137520;139266;0.003508;14.787097;14.974838
9400;144439;154662;0.011339;15.365851;16.453403;44175300;18798;0.115725;4699.500000;1.999787;21241675;21241675;0.067307;2259.752686;2259.752686;251208;232408;0.002784;26.724255;24.724255;139700;141065;0.003328;14.861702;15.006915
9500;146131;159483;0.011041;15.382211;16.787683;45120250;18998;0.118810;4749.500000;1.999789;21654884;21654884;0.068346;2279.461426;2279.461426;254247;235247;0.002875;26.762842;24.762842;142559;143982;0.003425;15.006210;15.156000
9600;150101;159620;0.010751;15.635521;16.627083;46075200;19198;0.118663;4799.500000;1.999792;22171321;22171321;0.068633;2309.512451;2309.512451;257155;237955;0.002808;26.786980;24.786980;145633;144480;0.003463;15.170104;15.050000
9700;151309;166952;0.011207;15.598866;17.211546;47040150;19398;0.120673;4849.500000;1.999794;22653890;22653890;0.070791;2335.452637;2335.452637;260131;240731;0.002953;26.817629;24.817629;145754;146429;0.003491;15.026186;15.095773
9800;148985;161697;0.011497;15.202551;16.499695;48015100;19598;0.126485;4899.500000;1.999796;23082022;23082022;0.074374;2355.308350;2355.308350;263197;243597;0.003183;26.856836;24.856836;144858;146736;0.003653;14.781428;14.973062
9900;151936;161533;0.011422;15.347071;16.316465;49000050;19798;0.131323;4949.500000;1.999798;23551232;23551232;0.076809;2378.912354;2378.912354;266268;246468;0.002925;26.895758;24.895758;149294;148675;0.003687;15.080202;15.017676
10000;155731;172096;0.012590;15.573100;17.209600;49995000;19998;0.143785;4999.500000;1.999800;23992627;23992627;0.096106;2399.262695;2399.262695;269175;249175;0.003334;26.917500;24.917500;149492;157138;0.003946;14.949200;15.713800
